Project,Bid,Repeated Feedback,Total Feedback,First Plausible At
Lang, 51, 2, 6, 6
Lang, 11, 16, 24, 0
Lang, 24, 1, 3, 3
Lang, 43, 2, 7, 7
Lang, 29, 10, 24, 0
Chart, 24, 16, 24, 0
Chart, 1, 11, 24, 0
Chart, 3, 7, 24, 0
Chart, 17, 3, 8, 8
Chart, 6, 11, 24, 0
Closure, 83, 11, 24, 0
Closure, 65, 16, 24, 0
Closure, 57, 16, 24, 0
Closure, 125, 5, 11, 11
Closure, 59, 12, 24, 0
Math, 101, 16, 24, 0
Math, 105, 12, 24, 0
Math, 41, 16, 24, 0
Math, 10, 8, 18, 18
Math, 33, 6, 11, 11
Mockito, 38, 2, 8, 8
Mockito, 22, 16, 24, 0
Mockito, 5, 13, 26, 0
Mockito, 18, 13, 24, 0
Mockito, 34, 16, 24, 0
Time, 24, 10, 24, 0
Time, 25, 6, 24, 0
Time, 15, 16, 24, 0
Time, 19, 2, 5, 5
Time, 16, 16, 24, 0
Time, 18, 6, 24, 0
